From,NOX (ppb)
09/02/2023 07:30,49.6
09/02/2023 07:45,49.7
09/02/2023 08:00,52.2
09/02/2023 08:15,55
09/02/2023 08:30,56.1
09/02/2023 08:45,55.2
09/02/2023 09:00,55.5
09/02/2023 09:15,55
09/02/2023 09:30,53.4
09/02/2023 09:45,51
09/02/2023 10:00,48.7
09/02/2023 10:15,46.9
09/02/2023 10:30,45.9
09/02/2023 10:45,43.8
09/02/2023 11:00,42.7
09/02/2023 11:15,41.5
09/02/2023 11:30,38.9
09/02/2023 11:45,37.15
09/02/2023 12:00,35.4
09/02/2023 12:15,33.65
09/02/2023 12:30,31.9
09/02/2023 12:45,31.3
09/02/2023 13:00,30.8
09/02/2023 13:15,29.9
09/02/2023 13:30,30.3
09/02/2023 13:45,30.7
09/02/2023 14:00,29.5
09/02/2023 14:15,27.5
09/02/2023 14:30,27.5
09/02/2023 14:45,29.9
09/02/2023 15:00,31.3
09/02/2023 15:15,32.4
09/02/2023 15:30,32.6
09/02/2023 15:45,33.7
09/02/2023 16:00,35.3
09/02/2023 16:15,36.5
09/02/2023 16:30,36.1
09/02/2023 16:45,35.7
09/02/2023 17:00,35.5
09/02/2023 17:15,35.4
09/02/2023 17:30,35.2
09/02/2023 17:45,34.5
09/02/2023 18:00,34.3
09/02/2023 18:15,32.9
09/02/2023 18:30,33.6
09/02/2023 18:45,35.9
09/02/2023 19:00,39.4
09/02/2023 19:15,43.2
09/02/2023 19:30,46.5
09/02/2023 19:45,52
09/02/2023 20:00,56.3
09/02/2023 20:15,60.5
09/02/2023 20:30,64.9
09/02/2023 20:45,66.9
09/02/2023 21:00,68.9
09/02/2023 21:15,69.8
09/02/2023 21:30,69.5
09/02/2023 21:45,70.7
09/02/2023 22:00,71.3
09/02/2023 22:15,73.1
09/02/2023 22:30,75.3
09/02/2023 22:45,78.5
09/02/2023 23:00,80.9
09/02/2023 23:15,82.9
09/02/2023 23:30,85.6
09/02/2023 23:45,87.8
10/02/2023 00:00,89.7
10/02/2023 00:15,92
10/02/2023 00:30,93.1
10/02/2023 00:45,93.5
10/02/2023 01:00,93.9
10/02/2023 01:15,94.5
10/02/2023 01:30,94.8
10/02/2023 01:45,95.1
10/02/2023 02:00,96.8
10/02/2023 02:15,99.3
10/02/2023 02:30,100.8
10/02/2023 02:45,101.7
10/02/2023 03:00,101.6
10/02/2023 03:15,101
10/02/2023 03:30,100.2
10/02/2023 03:45,98.4
10/02/2023 04:00,96.3
10/02/2023 04:15,95.2
10/02/2023 04:30,93.1
10/02/2023 04:45,92.4
10/02/2023 05:00,94.2
10/02/2023 05:15,97.3
10/02/2023 05:30,100.2
10/02/2023 05:45,104.1
10/02/2023 06:00,108.2
10/02/2023 06:15,110.4
10/02/2023 06:30,111.8
10/02/2023 06:45,112.8
10/02/2023 07:00,114.4
10/02/2023 07:15,115.1
10/02/2023 07:30,113.4
10/02/2023 07:45,111.4
10/02/2023 08:00,108.1
10/02/2023 08:15,104.5
10/02/2023 08:30,101
10/02/2023 08:45,98.2
10/02/2023 09:00,96
10/02/2023 09:15,94.7
10/02/2023 09:30,92.9
10/02/2023 09:45,91
10/02/2023 10:00,88.3
10/02/2023 10:15,82.1
10/02/2023 10:30,74.8
10/02/2023 10:45,68.3
10/02/2023 11:00,64.2
10/02/2023 11:15,62.2
10/02/2023 11:30,60.1
10/02/2023 11:45,57.375
10/02/2023 12:00,54.65
10/02/2023 12:15,51.925
10/02/2023 12:30,49.2
10/02/2023 12:45,48.9
10/02/2023 13:00,48.2
10/02/2023 13:15,47.8
10/02/2023 13:30,45.2
10/02/2023 13:45,43.1
10/02/2023 14:00,41.6
10/02/2023 14:15,37.8
10/02/2023 14:30,36.8
10/02/2023 14:45,35.5
10/02/2023 15:00,35.9
10/02/2023 15:15,33.6
10/02/2023 15:30,23
10/02/2023 15:45,19.1
10/02/2023 16:00,17.5
10/02/2023 16:15,17.8
10/02/2023 16:30,18
10/02/2023 16:45,19.2
10/02/2023 17:00,20.9
10/02/2023 17:15,22.4
10/02/2023 17:30,24.2
10/02/2023 17:45,26.9
10/02/2023 18:00,30.5
10/02/2023 18:15,33.8
