From,PM10 (µg/m3)
08/02/2023 21:00,238
08/02/2023 21:15,238
08/02/2023 21:30,238
08/02/2023 21:45,182
08/02/2023 22:00,182
08/02/2023 22:15,182
08/02/2023 22:30,182
08/02/2023 22:45,345
08/02/2023 23:00,345
08/02/2023 23:15,345
08/02/2023 23:30,345
08/02/2023 23:45,489
09/02/2023 00:00,489
09/02/2023 00:15,489
09/02/2023 00:30,489
09/02/2023 00:45,411
09/02/2023 01:00,411
09/02/2023 01:15,411
09/02/2023 01:30,411
09/02/2023 01:45,334
09/02/2023 02:00,334
09/02/2023 02:15,334
09/02/2023 02:30,334
09/02/2023 02:45,183
09/02/2023 03:00,183
09/02/2023 03:15,183
09/02/2023 03:30,183
09/02/2023 03:45,183
09/02/2023 04:00,183
09/02/2023 04:15,183
09/02/2023 04:30,183
09/02/2023 04:45,199
09/02/2023 05:00,199
09/02/2023 05:15,199
09/02/2023 05:30,199
09/02/2023 05:45,173
09/02/2023 06:00,173
09/02/2023 06:15,173
09/02/2023 06:30,173
09/02/2023 06:45,207
09/02/2023 07:00,207
09/02/2023 07:15,207
09/02/2023 07:30,207
09/02/2023 07:45,346
09/02/2023 08:00,346
09/02/2023 08:15,346
09/02/2023 08:30,346
09/02/2023 08:45,469
09/02/2023 09:00,469
09/02/2023 09:15,469
09/02/2023 09:30,469
09/02/2023 09:45,328
09/02/2023 10:00,328
09/02/2023 10:15,328
09/02/2023 10:30,328
09/02/2023 10:45,128
09/02/2023 11:00,128
09/02/2023 11:15,128
09/02/2023 11:30,128
09/02/2023 11:45,NA
09/02/2023 12:00,NA
09/02/2023 12:15,NA
09/02/2023 12:30,NA
09/02/2023 12:45,133
09/02/2023 13:00,133
09/02/2023 13:15,133
09/02/2023 13:30,133
09/02/2023 13:45,140
09/02/2023 14:00,140
09/02/2023 14:15,140
09/02/2023 14:30,140
09/02/2023 14:45,100
09/02/2023 15:00,100
09/02/2023 15:15,100
09/02/2023 15:30,100
09/02/2023 15:45,102
09/02/2023 16:00,102
09/02/2023 16:15,102
09/02/2023 16:30,102
09/02/2023 16:45,108
09/02/2023 17:00,108
09/02/2023 17:15,108
09/02/2023 17:30,108
09/02/2023 17:45,143
09/02/2023 18:00,143
09/02/2023 18:15,143
09/02/2023 18:30,143
09/02/2023 18:45,143
09/02/2023 19:00,143
09/02/2023 19:15,143
09/02/2023 19:30,143
09/02/2023 19:45,735
09/02/2023 20:00,735
09/02/2023 20:15,735
09/02/2023 20:30,735
09/02/2023 20:45,796
09/02/2023 21:00,796
09/02/2023 21:15,796
09/02/2023 21:30,796
09/02/2023 21:45,469
09/02/2023 22:00,469
09/02/2023 22:15,469
09/02/2023 22:30,469
09/02/2023 22:45,414
09/02/2023 23:00,414
09/02/2023 23:15,414
09/02/2023 23:30,414
09/02/2023 23:45,528
10/02/2023 00:00,528
10/02/2023 00:15,528
10/02/2023 00:30,528
10/02/2023 00:45,561
10/02/2023 01:00,561
10/02/2023 01:15,561
10/02/2023 01:30,561
10/02/2023 01:45,429
10/02/2023 02:00,429
10/02/2023 02:15,429
10/02/2023 02:30,429
10/02/2023 02:45,429
10/02/2023 03:00,429
10/02/2023 03:15,429
10/02/2023 03:30,429
10/02/2023 03:45,383
10/02/2023 04:00,383
10/02/2023 04:15,383
10/02/2023 04:30,383
10/02/2023 04:45,295
10/02/2023 05:00,295
10/02/2023 05:15,295
10/02/2023 05:30,295
10/02/2023 05:45,310
10/02/2023 06:00,310
10/02/2023 06:15,310
10/02/2023 06:30,310
10/02/2023 06:45,486
10/02/2023 07:00,486
10/02/2023 07:15,486
10/02/2023 07:30,486
10/02/2023 07:45,467
10/02/2023 08:00,467
10/02/2023 08:15,467
10/02/2023 08:30,467
10/02/2023 08:45,321
10/02/2023 09:00,321
10/02/2023 09:15,321
10/02/2023 09:30,321
10/02/2023 09:45,141
10/02/2023 10:00,141
10/02/2023 10:15,141
10/02/2023 10:30,141
10/02/2023 10:45,141
10/02/2023 11:00,141
10/02/2023 11:15,141
10/02/2023 11:30,141
10/02/2023 11:45,92
10/02/2023 12:00,92
10/02/2023 12:15,92
10/02/2023 12:30,92
10/02/2023 12:45,94
10/02/2023 13:00,94
10/02/2023 13:15,94
10/02/2023 13:30,94
10/02/2023 13:45,106
10/02/2023 14:00,106
10/02/2023 14:15,106
10/02/2023 14:30,106
10/02/2023 14:45,97
10/02/2023 15:00,97
10/02/2023 15:15,97
10/02/2023 15:30,97
10/02/2023 15:45,85
10/02/2023 16:00,85
10/02/2023 16:15,85
10/02/2023 16:30,85
10/02/2023 16:45,58
10/02/2023 17:00,58
10/02/2023 17:15,58
10/02/2023 17:30,58
10/02/2023 17:45,70
10/02/2023 18:00,70
10/02/2023 18:15,70
10/02/2023 18:30,70
10/02/2023 18:45,70
10/02/2023 19:00,70
10/02/2023 19:15,70
10/02/2023 19:30,70
10/02/2023 19:45,469
10/02/2023 20:00,469
10/02/2023 20:15,469
10/02/2023 20:30,469
10/02/2023 20:45,770
10/02/2023 21:00,770
10/02/2023 21:15,770
10/02/2023 21:30,770
10/02/2023 21:45,NA
10/02/2023 22:00,NA
10/02/2023 22:15,NA
10/02/2023 22:30,NA
10/02/2023 22:45,NA
10/02/2023 23:00,NA
10/02/2023 23:15,NA
10/02/2023 23:30,NA
10/02/2023 23:45,602
11/02/2023 00:00,602
11/02/2023 00:15,602
11/02/2023 00:30,602
11/02/2023 00:45,605
11/02/2023 01:00,605
11/02/2023 01:15,605
11/02/2023 01:30,605
11/02/2023 01:45,603
11/02/2023 02:00,603
11/02/2023 02:15,603
11/02/2023 02:30,603
11/02/2023 02:45,603
11/02/2023 03:00,603
11/02/2023 03:15,603
11/02/2023 03:30,603
11/02/2023 03:45,354
11/02/2023 04:00,354
11/02/2023 04:15,354
11/02/2023 04:30,354
11/02/2023 04:45,194
11/02/2023 05:00,194
11/02/2023 05:15,194
11/02/2023 05:30,194
11/02/2023 05:45,266
11/02/2023 06:00,266
11/02/2023 06:15,266
11/02/2023 06:30,266
11/02/2023 06:45,280
11/02/2023 07:00,280
11/02/2023 07:15,280
11/02/2023 07:30,280
11/02/2023 07:45,317
11/02/2023 08:00,317
11/02/2023 08:15,317
11/02/2023 08:30,317
11/02/2023 08:45,537
11/02/2023 09:00,537
11/02/2023 09:15,537
11/02/2023 09:30,537
11/02/2023 09:45,304
11/02/2023 10:00,304
11/02/2023 10:15,304
11/02/2023 10:30,304
11/02/2023 10:45,110
11/02/2023 11:00,110
11/02/2023 11:15,110
11/02/2023 11:30,110
11/02/2023 11:45,110
11/02/2023 12:00,110
11/02/2023 12:15,110
11/02/2023 12:30,110
11/02/2023 12:45,90
11/02/2023 13:00,90
11/02/2023 13:15,90
11/02/2023 13:30,90
11/02/2023 13:45,158
11/02/2023 14:00,158
11/02/2023 14:15,158
11/02/2023 14:30,158
11/02/2023 14:45,158
11/02/2023 15:00,158
11/02/2023 15:15,158
11/02/2023 15:30,158
11/02/2023 15:45,NA
11/02/2023 16:00,NA
11/02/2023 16:15,NA
11/02/2023 16:30,NA
11/02/2023 16:45,NA
11/02/2023 17:00,NA
11/02/2023 17:15,NA
11/02/2023 17:30,NA
11/02/2023 17:45,NA
11/02/2023 18:00,NA
11/02/2023 18:15,NA
11/02/2023 18:30,NA
11/02/2023 18:45,NA
11/02/2023 19:00,NA
11/02/2023 19:15,NA
11/02/2023 19:30,NA
11/02/2023 19:45,NA
11/02/2023 20:00,NA
11/02/2023 20:15,NA
11/02/2023 20:30,NA
11/02/2023 20:45,NA
11/02/2023 21:00,NA
11/02/2023 21:15,NA
11/02/2023 21:30,NA
11/02/2023 21:45,NA
11/02/2023 22:00,NA
11/02/2023 22:15,NA
11/02/2023 22:30,NA
11/02/2023 22:45,NA
11/02/2023 23:00,NA
11/02/2023 23:15,NA
11/02/2023 23:30,NA
11/02/2023 23:45,NA
12/02/2023 00:00,NA
12/02/2023 00:15,NA
12/02/2023 00:30,NA
12/02/2023 00:45,NA
12/02/2023 01:00,NA
12/02/2023 01:15,NA
12/02/2023 01:30,NA
12/02/2023 01:45,NA
