From,NH3 (µg/m3)
08/02/2023 06:30,20.2
08/02/2023 06:45,21.9
08/02/2023 07:00,22.2
08/02/2023 07:15,23.3
08/02/2023 07:30,23.6
08/02/2023 07:45,24.2
08/02/2023 08:00,24.3
08/02/2023 08:15,25
08/02/2023 08:30,24.8
08/02/2023 08:45,25.3
08/02/2023 09:00,25.3
08/02/2023 09:15,25
08/02/2023 09:30,24.2
08/02/2023 09:45,25.6
08/02/2023 10:00,27.4
08/02/2023 10:15,26.9
08/02/2023 10:30,26
08/02/2023 10:45,26.9
08/02/2023 11:00,24.6
08/02/2023 11:15,22.7
08/02/2023 11:30,23.6
08/02/2023 11:45,21.46666667
08/02/2023 12:00,19.33333333
08/02/2023 12:15,17.2
08/02/2023 12:30,20.7
08/02/2023 12:45,22.2
08/02/2023 13:00,20.6
08/02/2023 13:15,19.6
08/02/2023 13:30,18.8
08/02/2023 13:45,18.7
08/02/2023 14:00,18.9
08/02/2023 14:15,21.1
08/02/2023 14:30,20.6
08/02/2023 14:45,20.84166667
08/02/2023 15:00,21.08333333
08/02/2023 15:15,21.325
08/02/2023 15:30,21.56666667
08/02/2023 15:45,21.80833333
08/02/2023 16:00,22.05
08/02/2023 16:15,22.29166667
08/02/2023 16:30,22.53333333
08/02/2023 16:45,22.775
08/02/2023 17:00,23.01666667
08/02/2023 17:15,23.25833333
08/02/2023 17:30,23.5
08/02/2023 17:45,24
08/02/2023 18:00,24.5
08/02/2023 18:15,25
08/02/2023 18:30,25.4
08/02/2023 18:45,25.7
08/02/2023 19:00,24.9
08/02/2023 19:15,24.5
08/02/2023 19:30,23.4
08/02/2023 19:45,22.8
08/02/2023 20:00,21.4
08/02/2023 20:15,20.2
08/02/2023 20:30,19.7
08/02/2023 20:45,19.2
08/02/2023 21:00,18.8
08/02/2023 21:15,18.5
08/02/2023 21:30,18.8
08/02/2023 21:45,18.9
08/02/2023 22:00,19.3
08/02/2023 22:15,20
08/02/2023 22:30,20.4
08/02/2023 22:45,21.1
08/02/2023 23:00,20.9
08/02/2023 23:15,21.3
08/02/2023 23:30,23.7
08/02/2023 23:45,25.4
09/02/2023 00:00,26.4
09/02/2023 00:15,26.8
09/02/2023 00:30,27.1
09/02/2023 00:45,27.5
09/02/2023 01:00,27.3
09/02/2023 01:15,27.1
09/02/2023 01:30,26.7
09/02/2023 01:45,26.7
09/02/2023 02:00,26.1
09/02/2023 02:15,26.3
09/02/2023 02:30,25.8
09/02/2023 02:45,25.7
09/02/2023 03:00,25.3
09/02/2023 03:15,25.3
09/02/2023 03:30,23.5
09/02/2023 03:45,22.6
09/02/2023 04:00,21.5
09/02/2023 04:15,20.6
09/02/2023 04:30,20.2
09/02/2023 04:45,20.5
09/02/2023 05:00,20
09/02/2023 05:15,20
09/02/2023 05:30,20.2
09/02/2023 05:45,20.1
09/02/2023 06:00,20.3
09/02/2023 06:15,20.4
09/02/2023 06:30,20.7
09/02/2023 06:45,20.5
09/02/2023 07:00,20.6
09/02/2023 07:15,21.2
09/02/2023 07:30,24.1
09/02/2023 07:45,26
09/02/2023 08:00,26.7
09/02/2023 08:15,27
09/02/2023 08:30,27.1
09/02/2023 08:45,27.6
09/02/2023 09:00,27.7
09/02/2023 09:15,27.4
09/02/2023 09:30,26.7
09/02/2023 09:45,26.6
09/02/2023 10:00,26.5
09/02/2023 10:15,26.2
09/02/2023 10:30,26.3
09/02/2023 10:45,27.8
09/02/2023 11:00,28.6
